section,rank,metric,concept,value,extra
graph_summary,,num_nodes,,17163,|V|
graph_summary,,num_edges,,113966,|E|
graph_summary,,average_degree,,13.280429,2*|E|/|V|
graph_summary,,connected_components,,204,weak components if graph is directed
graph_summary,,largest_component_size,,16556,nodes in largest component
top_degree_concepts,1,degree,american,1210,
top_degree_concepts,2,degree,united states,859,
top_degree_concepts,3,degree,english,554,
top_degree_concepts,4,degree,second,541,
top_degree_concepts,5,degree,film,501,
top_degree_concepts,6,degree,album,409,
top_degree_concepts,7,degree,song,402,
top_degree_concepts,8,degree,british,390,
top_degree_concepts,9,degree,italian,350,
top_degree_concepts,10,degree,time,344,
top_degree_concepts,11,degree,university,322,
top_degree_concepts,12,degree,series,307,
top_degree_concepts,13,degree,year,287,
top_degree_concepts,14,degree,u s,279,
top_degree_concepts,15,degree,australia,274,
top_degree_concepts,16,degree,season,274,
top_degree_concepts,17,degree,september,273,
top_degree_concepts,18,degree,australian,271,
top_degree_concepts,19,degree,members,263,
top_degree_concepts,20,degree,october,261,
top_weighted_degree_concepts,1,weighted_degree,american,1463,
top_weighted_degree_concepts,2,weighted_degree,united states,1002,
top_weighted_degree_concepts,3,weighted_degree,english,642,
top_weighted_degree_concepts,4,weighted_degree,second,620,
top_weighted_degree_concepts,5,weighted_degree,song,533,
top_weighted_degree_concepts,6,weighted_degree,film,532,
top_weighted_degree_concepts,7,weighted_degree,album,468,
top_weighted_degree_concepts,8,weighted_degree,university,418,
top_weighted_degree_concepts,9,weighted_degree,british,410,
top_weighted_degree_concepts,10,weighted_degree,italian,388,
top_weighted_degree_concepts,11,weighted_degree,time,368,
top_weighted_degree_concepts,12,weighted_degree,commonwealth,349,
top_weighted_degree_concepts,13,weighted_degree,series,339,
top_weighted_degree_concepts,14,weighted_degree,australia,329,
top_weighted_degree_concepts,15,weighted_degree,members,327,
top_weighted_degree_concepts,16,weighted_degree,season,323,
top_weighted_degree_concepts,17,weighted_degree,year,313,
top_weighted_degree_concepts,18,weighted_degree,australian,307,
top_weighted_degree_concepts,19,weighted_degree,u s,300,
top_weighted_degree_concepts,20,weighted_degree,september,295,
top_pagerank_concepts,1,pagerank,american,0.005495,
top_pagerank_concepts,2,pagerank,united states,0.003398,
top_pagerank_concepts,3,pagerank,film,0.002224,
top_pagerank_concepts,4,pagerank,second,0.002223,
top_pagerank_concepts,5,pagerank,english,0.002151,
top_pagerank_concepts,6,pagerank,song,0.002033,
top_pagerank_concepts,7,pagerank,album,0.001760,
top_pagerank_concepts,8,pagerank,italian,0.001433,
top_pagerank_concepts,9,pagerank,university,0.001427,
top_pagerank_concepts,10,pagerank,series,0.001409,
top_pagerank_concepts,11,pagerank,time,0.001357,
