method,hop,top_n,strategy,k1,b,query_id,recall_at_5,recall_at_10,mrr_at_10,ndcg_at_10
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000001,0.500000,0.500000,0.200000,0.237198
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000002,0.333333,0.333333,1.000000,0.469279
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000003,0.200000,0.400000,0.250000,0.259122
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000004,1.000000,1.000000,1.000000,1.000000
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000005,1.000000,1.000000,0.500000,0.650921
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000006,1.000000,1.000000,0.500000,0.650921
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000007,0.500000,1.000000,0.333333,0.510956
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000008,0.000000,0.000000,0.000000,0.000000
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000009,1.000000,1.000000,0.500000,0.732829
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000010,0.500000,0.500000,0.333333,0.306574
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000011,0.333333,0.666667,1.000000,0.604931
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000012,0.666667,0.666667,1.000000,0.765361
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000013,0.333333,0.666667,0.500000,0.444123
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000014,0.500000,0.500000,0.250000,0.264068
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000015,0.666667,0.666667,0.250000,0.383649
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000016,0.500000,0.500000,1.000000,0.613147
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000017,0.666667,0.666667,1.000000,0.765361
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000018,1.000000,1.000000,0.500000,0.624051
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000019,0.500000,0.500000,1.000000,0.613147
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000020,0.000000,0.500000,0.111111,0.184576
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000021,0.666667,0.666667,0.333333,0.436747
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000022,0.000000,0.000000,0.000000,0.000000
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000023,0.500000,0.500000,1.000000,0.636682
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000024,0.000000,0.500000,0.111111,0.184576
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000025,0.333333,0.333333,0.250000,0.202107
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000026,0.500000,1.000000,0.500000,0.564092
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000027,0.000000,0.500000,0.100000,0.177239
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000028,1.000000,1.000000,0.500000,0.624051
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000029,0.666667,0.666667,1.000000,0.703918
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000030,1.000000,1.000000,1.000000,1.000000
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000031,0.500000,0.500000,1.000000,0.613147
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000032,1.000000,1.000000,1.000000,1.000000
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000033,0.500000,0.500000,0.500000,0.386853
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000034,0.000000,0.000000,0.000000,0.000000
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000035,0.000000,0.000000,0.000000,0.000000
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000036,0.500000,1.000000,1.000000,0.817530
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000037,1.000000,1.000000,1.000000,1.000000
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000038,1.000000,1.000000,1.000000,0.850345
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000039,1.000000,1.000000,1.000000,0.919721
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000040,0.500000,0.500000,1.000000,0.613147
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000041,0.333333,0.666667,1.000000,0.604931
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000042,0.000000,0.000000,0.000000,0.000000
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000043,0.500000,0.500000,0.500000,0.386853
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000044,0.500000,0.500000,0.333333,0.306574
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000045,0.333333,0.333333,1.000000,0.469279
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000046,0.250000,0.750000,1.000000,0.620741
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000047,0.333333,0.333333,1.000000,0.469279
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000048,0.500000,0.500000,0.200000,0.237198
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000049,0.000000,0.500000,0.125000,0.193426
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000050,0.500000,1.000000,1.000000,0.806574
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000051,0.333333,0.666667,0.200000,0.348702
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000052,0.000000,0.500000,0.166667,0.218407
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000053,0.000000,0.500000,0.111111,0.184576
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000054,0.000000,0.000000,0.000000,0.000000
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000055,0.500000,0.500000,0.500000,0.397322
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000056,0.250000,0.250000,0.200000,0.151020
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000057,0.000000,0.000000,0.000000,0.000000
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000058,0.500000,1.000000,0.333333,0.524981
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000059,0.000000,0.000000,0.000000,0.000000
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000060,0.500000,0.500000,1.000000,0.613147
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000061,0.333333,0.666667,0.500000,0.431734
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000062,0.333333,0.333333,0.250000,0.202107
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000063,0.500000,0.500000,0.333333,0.306574
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000064,0.333333,0.333333,0.250000,0.202107
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000065,0.000000,0.500000,0.111111,0.184576
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000066,0.333333,0.333333,1.000000,0.469279
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000067,0.500000,1.000000,1.000000,0.790386
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000068,1.000000,1.000000,0.333333,0.570642
query_expansion_bm25,2,10,edge_weight,1.500000,0.750000,q_000069,0.000000,0.000000,0.000000,0.000000
