rank,concept,passage_count,filter_rule,filter_threshold
1,american,196,top_1_percent_by_passage_count,0.010000
2,united states,125,top_1_percent_by_passage_count,0.010000
3,song,88,top_1_percent_by_passage_count,0.010000
4,second,86,top_1_percent_by_passage_count,0.010000
5,film,80,top_1_percent_by_passage_count,0.010000
6,english,74,top_1_percent_by_passage_count,0.010000
7,album,72,top_1_percent_by_passage_count,0.010000
8,series,58,top_1_percent_by_passage_count,0.010000
9,university,58,top_1_percent_by_passage_count,0.010000
10,time,50,top_1_percent_by_passage_count,0.010000
11,british,46,top_1_percent_by_passage_count,0.010000
12,italian,46,top_1_percent_by_passage_count,0.010000
13,season,46,top_1_percent_by_passage_count,0.010000
14,2010,41,top_1_percent_by_passage_count,0.010000
15,members,40,top_1_percent_by_passage_count,0.010000
16,year,39,top_1_percent_by_passage_count,0.010000
17,number,38,top_1_percent_by_passage_count,0.010000
18,u s,38,top_1_percent_by_passage_count,0.010000
19,october,37,top_1_percent_by_passage_count,0.010000
20,september,37,top_1_percent_by_passage_count,0.010000
21,member,35,top_1_percent_by_passage_count,0.010000
22,director,34,top_1_percent_by_passage_count,0.010000
23,june,34,top_1_percent_by_passage_count,0.010000
24,july,33,top_1_percent_by_passage_count,0.010000
25,november,33,top_1_percent_by_passage_count,0.010000
26,april,32,top_1_percent_by_passage_count,0.010000
27,california,31,top_1_percent_by_passage_count,0.010000
28,team,31,top_1_percent_by_passage_count,0.010000
29,2014,30,top_1_percent_by_passage_count,0.010000
30,australia,30,top_1_percent_by_passage_count,0.010000
31,new york city,30,top_1_percent_by_passage_count,0.010000
32,years,30,top_1_percent_by_passage_count,0.010000
33,city,29,top_1_percent_by_passage_count,0.010000
34,february,29,top_1_percent_by_passage_count,0.010000
35,town,29,top_1_percent_by_passage_count,0.010000
36,group,28,top_1_percent_by_passage_count,0.010000
37,world,28,top_1_percent_by_passage_count,0.010000
38,2000,27,top_1_percent_by_passage_count,0.010000
39,lake,27,top_1_percent_by_passage_count,0.010000
40,march,27,top_1_percent_by_passage_count,0.010000
41,men,27,top_1_percent_by_passage_count,0.010000
42,place,27,top_1_percent_by_passage_count,0.010000
43,population,27,top_1_percent_by_passage_count,0.010000
44,united kingdom,27,top_1_percent_by_passage_count,0.010000
45,work,27,top_1_percent_by_passage_count,0.010000
46,china,26,top_1_percent_by_passage_count,0.010000
47,home games,26,top_1_percent_by_passage_count,0.010000
48,january,26,top_1_percent_by_passage_count,0.010000
49,love,26,top_1_percent_by_passage_count,0.010000
50,president,26,top_1_percent_by_passage_count,0.010000
51,soviet,26,top_1_percent_by_passage_count,0.010000
52,state,26,top_1_percent_by_passage_count,0.010000
53,area,25,top_1_percent_by_passage_count,0.010000
54,ethiopia,25,top_1_percent_by_passage_count,0.010000
55,french,25,top_1_percent_by_passage_count,0.010000
56,new york,25,top_1_percent_by_passage_count,0.010000
57,2004,24,top_1_percent_by_passage_count,0.010000
58,2007,24,top_1_percent_by_passage_count,0.010000
59,2009,24,top_1_percent_by_passage_count,0.010000
60,2012,24,top_1_percent_by_passage_count,0.010000
61,addition,24,top_1_percent_by_passage_count,0.010000
62,august,24,top_1_percent_by_passage_count,0.010000
63,history,24,top_1_percent_by_passage_count,0.010000
64,japanese,24,top_1_percent_by_passage_count,0.010000
65,russian,24,top_1_percent_by_passage_count,0.010000
66,world war ii,24,top_1_percent_by_passage_count,0.010000
67,2006,23,top_1_percent_by_passage_count,0.010000
68,book,23,top_1_percent_by_passage_count,0.010000
69,fourth,23,top_1_percent_by_passage_count,0.010000
70,title,23,top_1_percent_by_passage_count,0.010000
71,2001,22,top_1_percent_by_passage_count,0.010000
